No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;
41;1.084.599;23.7.217.88;192.168.43.47;TCP;54;443  >  49721 [ACK] Seq=1 Ack=218 Win=30336 Len=0;;;;;;;;;;;;;;;
42;1.084.599;23.7.217.88;192.168.43.47;TLSv1.2;1454;Server Hello;;;;;;;;;;;;;;;
43;1.084.599;23.7.217.88;192.168.43.47;TCP;1350;[TCP Previous segment not captured] 443  >  49721 [PSH, ACK] Seq=2801 Ack=218 Win=30336 Len=1296 [TCP segment of a reassembled PDU] [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
44;1.084.797;192.168.43.47;23.7.217.88;TCP;66;49721  >  443 [ACK] Seq=218 Ack=1401 Win=65792 Len=0 SLE=2801 SRE=4097;;;;;;;;;;;;;;;
45;1.085.130;23.7.217.88;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  49721 [ACK] Seq=1401 Ack=218 Win=30336 Len=1400;;;;;;;;;;;;;;;
46;1.085.130;23.7.217.88;192.168.43.47;TLSv1.2;1454;Certificate Status [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
47;1.085.230;192.168.43.47;23.7.217.88;TCP;54;49721  >  443 [ACK] Seq=218 Ack=4097 Win=65792 Len=0;;;;;;;;;;;;;;;
48;1.085.325;192.168.43.47;23.7.217.88;TCP;54;49721  >  443 [ACK] Seq=218 Ack=5497 Win=65792 Len=0;;;;;;;;;;;;;;;
49;1.167.300;23.7.217.88;192.168.43.47;TLSv1.2;336;Server Key Exchange, Server Hello Done;;;;;;;;;;;;;;;
50;1.174.298;192.168.43.47;23.7.217.88;TLSv1.2;180;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
51;1.255.466;23.7.217.88;192.168.43.47;TLSv1.2;328;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
52;1.257.914;192.168.43.47;23.7.217.88;TLSv1.2;587;Application Data;;;;;;;;;;;;;;;
53;1.345.276;23.7.217.88;192.168.43.47;TLSv1.2;747;Application Data;;;;;;;;;;;;;;;
54;1.349.174;192.168.43.47;23.7.217.88;TCP;54;49721  >  443 [FIN, ACK] Seq=877 Ack=6746 Win=64512 Len=0;;;;;;;;;;;;;;;
56;1.427.679;23.7.217.88;192.168.43.47;TCP;54;[TCP Previous segment not captured] 443  >  49721 [FIN, ACK] Seq=6777 Ack=878 Win=31360 Len=0;;;;;;;;;;;;;;;
57;1.427.869;192.168.43.47;23.7.217.88;TCP;54;[TCP Dup ACK 54#1] 49721  >  443 [ACK] Seq=878 Ack=6746 Win=64512 Len=0;;;;;;;;;;;;;;;
58;1.428.175;23.7.217.88;192.168.43.47;TCP;85;[TCP Out-Of-Order] 443  >  49721 [PSH, ACK] Seq=6746 Ack=878 Win=31360 Len=31;;;;;;;;;;;;;;;
59;1.428.253;192.168.43.47;23.7.217.88;TCP;54;49721  >  443 [RST, ACK] Seq=878 Ack=6777 Win=0 Len=0;;;;;;;;;;;;;;;
61;1.448.812;192.168.43.47;23.7.217.88;TCP;66;49724  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;
62;1.523.683;23.7.217.88;192.168.43.47;TCP;66;443  >  49724 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400 SACK_PERM=1 WS=128;;;;;;;;;;;;;;;
63;1.523.909;192.168.43.47;23.7.217.88;TCP;54;49724  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0;;;;;;;;;;;;;;;
64;1.524.968;192.168.43.47;23.7.217.88;TLSv1.2;271;Client Hello;;;;;;;;;;;;;;;
65;1.612.314;23.7.217.88;192.168.43.47;TCP;54;443  >  49724 [ACK] Seq=1 Ack=218 Win=30336 Len=0;;;;;;;;;;;;;;;
66;1.613.234;23.7.217.88;192.168.43.47;TCP;1454;[TCP Previous segment not captured] 443  >  49724 [ACK] Seq=1401 Ack=218 Win=30336 Len=1400 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
67;1.613.342;192.168.43.47;23.7.217.88;TCP;66;[TCP Dup ACK 63#1] 49724  >  443 [ACK] Seq=218 Ack=1 Win=65792 Len=0 SLE=1401 SRE=2801;;;;;;;;;;;;;;;
68;1.613.654;23.7.217.88;192.168.43.47;TCP;1350;443  >  49724 [PSH, ACK] Seq=2801 Ack=218 Win=30336 Len=1296 [TCP segment of a reassembled PDU] [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
69;1.613.721;192.168.43.47;23.7.217.88;TCP;66;[TCP Dup ACK 63#2] 49724  >  443 [ACK] Seq=218 Ack=1 Win=65792 Len=0 SLE=1401 SRE=4097;;;;;;;;;;;;;;;
70;1.614.080;23.7.217.88;192.168.43.47;TLSv1.2;1454;[TCP Fast Retransmission] , Server Hello;;;;;;;;;;;;;;;
71;1.614.177;192.168.43.47;23.7.217.88;TCP;54;49724  >  443 [ACK] Seq=218 Ack=4097 Win=65792 Len=0;;;;;;;;;;;;;;;
72;1.631.785;23.7.217.88;192.168.43.47;TLSv1.2;1454;Ignored Unknown Record;;;;;;;;;;;;;;;
73;1.674.931;192.168.43.47;23.7.217.88;TCP;54;49724  >  443 [ACK] Seq=218 Ack=5497 Win=65792 Len=0;;;;;;;;;;;;;;;
74;1.686.315;23.7.217.88;192.168.43.47;TLSv1.2;336;Ignored Unknown Record;;;;;;;;;;;;;;;
75;1.693.386;192.168.43.47;23.7.217.88;TLSv1.2;180;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
76;1.784.327;23.7.217.88;192.168.43.47;TLSv1.2;328;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
77;1.786.871;192.168.43.47;23.7.217.88;TLSv1.2;584;Application Data;;;;;;;;;;;;;;;
78;1.892.599;23.7.217.88;192.168.43.47;TLSv1.2;726;Application Data;;;;;;;;;;;;;;;
79;1.895.381;192.168.43.47;23.7.217.88;TCP;54;49724  >  443 [FIN, ACK] Seq=874 Ack=6725 Win=64512 Len=0;;;;;;;;;;;;;;;
80;1.963.531;23.7.217.88;192.168.43.47;TCP;54;[TCP Previous segment not captured] 443  >  49724 [FIN, ACK] Seq=6756 Ack=875 Win=31360 Len=0;;;;;;;;;;;;;;;
81;1.963.679;192.168.43.47;23.7.217.88;TCP;54;[TCP Dup ACK 79#1] 49724  >  443 [ACK] Seq=875 Ack=6725 Win=64512 Len=0;;;;;;;;;;;;;;;
82;1.963.998;23.7.217.88;192.168.43.47;TCP;85;[TCP Out-Of-Order] 443  >  49724 [PSH, ACK] Seq=6725 Ack=875 Win=31360 Len=31;;;;;;;;;;;;;;;
83;1.964.083;192.168.43.47;23.7.217.88;TCP;54;49724  >  443 [RST, ACK] Seq=875 Ack=6756 Win=0 Len=0;;;;;;;;;;;;;;;
86;1.981.876;192.168.43.47;23.7.217.88;TCP;66;49725  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;
87;2.073.362;23.7.217.88;192.168.43.47;TCP;66;443  >  49725 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400 SACK_PERM=1 WS=128;;;;;;;;;;;;;;;
88;2.073.581;192.168.43.47;23.7.217.88;TCP;54;49725  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0;;;;;;;;;;;;;;;
89;2.074.662;192.168.43.47;23.7.217.88;TLSv1.2;271;Client Hello;;;;;;;;;;;;;;;
90;2.151.548;23.7.217.88;192.168.43.47;TCP;54;443  >  49725 [ACK] Seq=1 Ack=218 Win=30336 Len=0;;;;;;;;;;;;;;;
91;2.152.499;23.7.217.88;192.168.43.47;TLSv1.2;1454;Server Hello;;;;;;;;;;;;;;;
92;2.153.038;23.7.217.88;192.168.43.47;TCP;1454;443  >  49725 [ACK] Seq=1401 Ack=218 Win=30336 Len=1400 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
93;2.153.038;23.7.217.88;192.168.43.47;TLSv1.2;1350;Certificate [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
94;2.153.159;192.168.43.47;23.7.217.88;TCP;54;49725  >  443 [ACK] Seq=218 Ack=4097 Win=65792 Len=0;;;;;;;;;;;;;;;
95;2.162.664;23.7.217.88;192.168.43.47;TLSv1.2;1454;Certificate Status [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
96;2.162.825;192.168.43.47;23.7.217.88;TCP;54;49725  >  443 [ACK] Seq=218 Ack=5497 Win=65792 Len=0;;;;;;;;;;;;;;;
97;2.231.615;23.7.217.88;192.168.43.47;TLSv1.2;336;Server Key Exchange, Server Hello Done;;;;;;;;;;;;;;;
98;2.238.774;192.168.43.47;23.7.217.88;TLSv1.2;180;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
99;2.323.196;23.7.217.88;192.168.43.47;TLSv1.2;328;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
100;2.325.749;192.168.43.47;23.7.217.88;TLSv1.2;587;Application Data;;;;;;;;;;;;;;;
101;2.421.587;23.7.217.88;192.168.43.47;TLSv1.2;742;Application Data;;;;;;;;;;;;;;;
102;2.424.914;192.168.43.47;23.7.217.88;TCP;54;49725  >  443 [FIN, ACK] Seq=877 Ack=6741 Win=64512 Len=0;;;;;;;;;;;;;;;
105;2.497.593;192.168.43.47;23.7.217.88;TCP;66;49726  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;
106;2.504.117;23.7.217.88;192.168.43.47;TLSv1.2;85;Encrypted Alert;;;;;;;;;;;;;;;
107;2.504.283;192.168.43.47;23.7.217.88;TCP;54;49725  >  443 [RST, ACK] Seq=878 Ack=6772 Win=0 Len=0;;;;;;;;;;;;;;;
108;2.504.580;23.7.217.88;192.168.43.47;TCP;54;443  >  49725 [FIN, ACK] Seq=6772 Ack=878 Win=31360 Len=0;;;;;;;;;;;;;;;
109;2.584.613;23.7.217.88;192.168.43.47;TCP;66;443  >  49726 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400 SACK_PERM=1 WS=128;;;;;;;;;;;;;;;
110;2.584.847;192.168.43.47;23.7.217.88;TCP;54;49726  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0;;;;;;;;;;;;;;;
111;2.585.870;192.168.43.47;23.7.217.88;TLSv1.2;271;Client Hello;;;;;;;;;;;;;;;
112;2.665.320;23.7.217.88;192.168.43.47;TCP;54;443  >  49726 [ACK] Seq=1 Ack=218 Win=30336 Len=0;;;;;;;;;;;;;;;
