No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;
2958;298.900.212;192.168.43.47;172.217.194.95;TCP;66;[TCP Dup ACK 2949#1] 65127  >  443 [ACK] Seq=518 Ack=1 Win=65792 Len=0 SLE=1401 SRE=2801;;;;;;;;;;;;;;;
2959;298.910.243;172.217.194.95;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65127 [ACK] Seq=1 Ack=518 Win=66816 Len=1400;;;;;;;;;;;;;;;
2960;298.910.407;192.168.43.47;172.217.194.95;TCP;54;65127  >  443 [ACK] Seq=518 Ack=2801 Win=65792 Len=0;;;;;;;;;;;;;;;
2961;298.910.772;103.208.137.6;192.168.43.47;TLSv1.2;894;Application Data;;;;;;;;;;;;;;;
2962;298.910.772;103.208.137.6;192.168.43.47;TLSv1.2;88;Application Data;;;;;;;;;;;;;;;
2963;298.910.772;172.217.194.95;192.168.43.47;TLSv1.2;172;Ignored Unknown Record;;;;;;;;;;;;;;;
2964;298.910.890;192.168.43.47;103.208.137.6;TCP;54;65120  >  443 [ACK] Seq=2359 Ack=40446 Win=64768 Len=0;;;;;;;;;;;;;;;
2965;298.934.521;192.168.43.47;172.217.194.95;TLSv1.2;118;Change Cipher Spec, Application Data;;;;;;;;;;;;;;;
2966;298.935.362;192.168.43.47;172.217.194.95;TLSv1.2;146;Application Data;;;;;;;;;;;;;;;
2967;298.936.041;192.168.43.47;172.217.194.95;TLSv1.2;887;Application Data;;;;;;;;;;;;;;;
2968;298.992.736;172.217.194.95;192.168.43.47;TLSv1.2;634;Application Data, Application Data;;;;;;;;;;;;;;;
2969;298.992.997;172.217.194.95;192.168.43.47;TLSv1.2;85;Application Data;;;;;;;;;;;;;;;
2970;298.993.070;192.168.43.47;172.217.194.95;TCP;54;65127  >  443 [ACK] Seq=1507 Ack=3530 Win=65024 Len=0;;;;;;;;;;;;;;;
2971;298.993.447;192.168.43.47;172.217.194.95;TLSv1.2;85;Application Data;;;;;;;;;;;;;;;
2972;299.002.060;172.217.194.95;192.168.43.47;TLSv1.2;217;[TCP Previous segment not captured] , Application Data;;;;;;;;;;;;;;;
2973;299.002.227;192.168.43.47;172.217.194.95;TCP;66;[TCP Dup ACK 2970#1] 65127  >  443 [ACK] Seq=1538 Ack=3530 Win=65024 Len=0 SLE=4027 SRE=4190;;;;;;;;;;;;;;;
2974;299.002.562;172.217.194.95;192.168.43.47;TCP;406;[TCP Out-Of-Order] 443  >  65127 [PSH, ACK] Seq=3530 Ack=1507 Win=68352 Len=352;;;;;;;;;;;;;;;
2975;299.002.562;172.217.194.95;192.168.43.47;TCP;199;[TCP Out-Of-Order] 443  >  65127 [PSH, ACK] Seq=3882 Ack=1507 Win=68352 Len=145;;;;;;;;;;;;;;;
2976;299.002.642;192.168.43.47;172.217.194.95;TCP;66;65127  >  443 [ACK] Seq=1538 Ack=3882 Win=64512 Len=0 SLE=4027 SRE=4190;;;;;;;;;;;;;;;
2977;299.002.745;192.168.43.47;172.217.194.95;TCP;54;65127  >  443 [ACK] Seq=1538 Ack=4190 Win=64256 Len=0;;;;;;;;;;;;;;;
2978;299.010.959;172.217.194.95;192.168.43.47;TLSv1.2;93;Application Data;;;;;;;;;;;;;;;
2979;299.011.125;192.168.43.47;172.217.194.95;TCP;54;65127  >  443 [ACK] Seq=1538 Ack=4229 Win=65792 Len=0;;;;;;;;;;;;;;;
2980;299.011.483;192.168.43.47;172.217.194.95;TLSv1.2;93;Application Data;;;;;;;;;;;;;;;
2981;299.037.080;172.217.194.95;192.168.43.47;TCP;54;443  >  65127 [ACK] Seq=4229 Ack=1538 Win=68352 Len=0;;;;;;;;;;;;;;;
2982;299.060.027;172.217.194.95;192.168.43.47;TCP;54;443  >  65127 [ACK] Seq=4229 Ack=1577 Win=68352 Len=0;;;;;;;;;;;;;;;
2983;299.098.829;192.168.43.47;74.125.68.94;TLSv1.3;271;Application Data;;;;;;;;;;;;;;;
2984;299.099.160;192.168.43.47;74.125.68.94;TLSv1.3;93;Application Data;;;;;;;;;;;;;;;
2985;299.099.348;192.168.43.47;74.125.68.94;TCP;1454;49909  >  443 [ACK] Seq=1307 Ack=3904 Win=64768 Len=1400 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
2986;299.099.348;192.168.43.47;74.125.68.94;TLSv1.3;707;Application Data;;;;;;;;;;;;;;;
2990;299.161.342;74.125.68.94;192.168.43.47;TCP;54;443  >  49909 [ACK] Seq=3904 Ack=1268 Win=68864 Len=0;;;;;;;;;;;;;;;
2991;299.161.342;74.125.68.94;192.168.43.47;TCP;54;443  >  49909 [ACK] Seq=3904 Ack=1307 Win=68864 Len=0;;;;;;;;;;;;;;;
2992;299.161.342;74.125.68.94;192.168.43.47;TCP;54;443  >  49909 [ACK] Seq=3904 Ack=2707 Win=71680 Len=0;;;;;;;;;;;;;;;
2993;299.161.342;74.125.68.94;192.168.43.47;TCP;54;443  >  49909 [ACK] Seq=3904 Ack=3360 Win=74496 Len=0;;;;;;;;;;;;;;;
2994;299.162.520;74.125.68.94;192.168.43.47;TLSv1.3;93;Application Data;;;;;;;;;;;;;;;
2995;299.162.869;74.125.68.94;192.168.43.47;TLSv1.3;163;Application Data;;;;;;;;;;;;;;;
2996;299.162.869;74.125.68.94;192.168.43.47;TLSv1.3;228;[TCP Previous segment not captured] , Application Data;;;;;;;;;;;;;;;
2997;299.162.967;192.168.43.47;74.125.68.94;TCP;66;49909  >  443 [ACK] Seq=3360 Ack=4052 Win=64512 Len=0 SLE=4251 SRE=4425;;;;;;;;;;;;;;;
2998;299.163.279;74.125.68.94;192.168.43.47;TCP;253;[TCP Out-Of-Order] 443  >  49909 [PSH, ACK] Seq=4052 Ack=3360 Win=74496 Len=199;;;;;;;;;;;;;;;
2999;299.163.279;74.125.68.94;192.168.43.47;TLSv1.3;93;Application Data;;;;;;;;;;;;;;;
3000;299.163.346;192.168.43.47;74.125.68.94;TCP;54;49909  >  443 [ACK] Seq=3360 Ack=4425 Win=65792 Len=0;;;;;;;;;;;;;;;
3001;299.166.498;192.168.43.47;74.125.68.94;TLSv1.3;93;Application Data;;;;;;;;;;;;;;;
3002;299.216.789;74.125.68.94;192.168.43.47;TCP;54;443  >  49909 [ACK] Seq=4464 Ack=3399 Win=74496 Len=0;;;;;;;;;;;;;;;
3003;299.301.242;192.168.43.47;74.125.24.188;TCP;55;[TCP Keep-Alive] 49935  >  5228 [ACK] Seq=758 Ack=8829 Win=65536 Len=1;;;;;;;;;;;;;;;
3004;299.353.302;74.125.24.188;192.168.43.47;TCP;66;[TCP Keep-Alive ACK] 5228  >  49935 [ACK] Seq=8829 Ack=759 Win=67840 Len=0 SLE=758 SRE=759;;;;;;;;;;;;;;;
3007;299.576.805;192.168.43.47;172.67.38.97;TLSv1.3;146;Application Data;;;;;;;;;;;;;;;
3008;299.581.940;192.168.43.47;172.67.38.97;TLSv1.3;85;Application Data;;;;;;;;;;;;;;;
3009;299.583.176;192.168.43.47;172.67.38.97;TLSv1.3;642;Application Data;;;;;;;;;;;;;;;
3010;299.597.938;192.168.43.47;23.111.9.35;TCP;66;65129  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;
3011;299.599.952;192.168.43.47;74.125.24.94;TLSv1.3;143;Application Data;;;;;;;;;;;;;;;
3012;299.638.658;172.67.38.97;192.168.43.47;TLSv1.3;85;Application Data;;;;;;;;;;;;;;;
3013;299.638.926;172.67.38.97;192.168.43.47;TCP;54;443  >  65122 [ACK] Seq=4477 Ack=674 Win=67584 Len=0;;;;;;;;;;;;;;;
3014;299.638.995;192.168.43.47;172.67.38.97;TCP;54;65122  >  443 [ACK] Seq=1293 Ack=4508 Win=65024 Len=0;;;;;;;;;;;;;;;
3015;299.639.506;172.67.38.97;192.168.43.47;TCP;54;443  >  65122 [ACK] Seq=4508 Ack=1293 Win=68608 Len=0;;;;;;;;;;;;;;;
3016;299.639.506;74.125.24.94;192.168.43.47;TCP;54;443  >  49917 [ACK] Seq=21319 Ack=1243 Win=67840 Len=0;;;;;;;;;;;;;;;
3017;299.641.983;74.125.24.94;192.168.43.47;TLSv1.3;1454;[TCP Previous segment not captured] , Application Data;;;;;;;;;;;;;;;
3018;299.642.107;192.168.43.47;74.125.24.94;TCP;66;[TCP Dup ACK 2937#1] 49917  >  443 [ACK] Seq=1243 Ack=21319 Win=65792 Len=0 SLE=21446 SRE=22846;;;;;;;;;;;;;;;
3019;299.642.419;74.125.24.94;192.168.43.47;TCP;181;[TCP Out-Of-Order] 443  >  49917 [PSH, ACK] Seq=21319 Ack=1243 Win=67840 Len=127;;;;;;;;;;;;;;;
3020;299.642.419;74.125.24.94;192.168.43.47;TLSv1.3;1454;Application Data;;;;;;;;;;;;;;;
3021;299.642.509;192.168.43.47;74.125.24.94;TCP;54;49917  >  443 [ACK] Seq=1243 Ack=22846 Win=65792 Len=0;;;;;;;;;;;;;;;
3022;299.642.873;74.125.24.94;192.168.43.47;TLSv1.3;1454;Application Data;;;;;;;;;;;;;;;
3023;299.642.929;192.168.43.47;74.125.24.94;TCP;54;49917  >  443 [ACK] Seq=1243 Ack=25646 Win=65792 Len=0;;;;;;;;;;;;;;;
3024;299.645.131;74.125.24.94;192.168.43.47;TLSv1.3;1454;Application Data;;;;;;;;;;;;;;;
3025;299.645.434;74.125.24.94;192.168.43.47;TLSv1.3;1454;Application Data;;;;;;;;;;;;;;;
3026;299.645.506;192.168.43.47;74.125.24.94;TCP;54;49917  >  443 [ACK] Seq=1243 Ack=28446 Win=65792 Len=0;;;;;;;;;;;;;;;
3027;299.656.017;74.125.24.94;192.168.43.47;TLSv1.3;1454;[TCP Previous segment not captured] , Application Data;;;;;;;;;;;;;;;
3028;299.656.182;192.168.43.47;74.125.24.94;TCP;66;[TCP Dup ACK 3026#1] 49917  >  443 [ACK] Seq=1243 Ack=28446 Win=65792 Len=0 SLE=29846 SRE=31246;;;;;;;;;;;;;;;
3029;299.657.247;74.125.24.94;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  49917 [ACK] Seq=28446 Ack=1243 Win=67840 Len=1400;;;;;;;;;;;;;;;
3030;299.657.247;74.125.24.94;192.168.43.47;TLSv1.3;1454;Application Data;;;;;;;;;;;;;;;
3031;299.657.247;74.125.24.94;192.168.43.47;TLSv1.3;1454;Application Data;;;;;;;;;;;;;;;
3032;299.657.247;74.125.24.94;192.168.43.47;TLSv1.3;1454;Application Data;;;;;;;;;;;;;;;
3033;299.657.247;74.125.24.94;192.168.43.47;TLSv1.3;1400;Application Data, Application Data;;;;;;;;;;;;;;;
3034;299.657.436;192.168.43.47;74.125.24.94;TCP;54;49917  >  443 [ACK] Seq=1243 Ack=31246 Win=65792 Len=0;;;;;;;;;;;;;;;
3035;299.657.590;192.168.43.47;74.125.24.94;TCP;54;49917  >  443 [ACK] Seq=1243 Ack=36792 Win=65792 Len=0;;;;;;;;;;;;;;;
3036;299.667.110;172.67.38.97;192.168.43.47;TLSv1.3;1445;Application Data;;;;;;;;;;;;;;;
3037;299.667.274;192.168.43.47;172.67.38.97;TCP;54;65122  >  443 [ACK] Seq=1293 Ack=5899 Win=65792 Len=0;;;;;;;;;;;;;;;
3038;299.668.287;172.67.38.97;192.168.43.47;TLSv1.3;1436;[TCP Previous segment not captured] , Continuation Data;;;;;;;;;;;;;;;
3039;299.668.287;172.67.38.97;192.168.43.47;TLSv1.3;1445;Application Data;;;;;;;;;;;;;;;
3040;299.668.287;172.67.38.97;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65122 [ACK] Seq=7290 Ack=1293 Win=68608 Len=1400;;;;;;;;;;;;;;;
3041;299.668.287;172.67.38.97;192.168.43.47;TLSv1.3;1436;[TCP Previous segment not captured] , Continuation Data;;;;;;;;;;;;;;;
3042;299.668.287;172.67.38.97;192.168.43.47;TLSv1.3;1454;Application Data;;;;;;;;;;;;;;;
3043;299.668.473;192.168.43.47;172.67.38.97;TCP;66;[TCP Dup ACK 3037#1] 65122  >  443 [ACK] Seq=1293 Ack=5899 Win=65792 Len=0 SLE=8690 SRE=10072;;;;;;;;;;;;;;;
3044;299.668.610;192.168.43.47;172.67.38.97;TCP;66;[TCP Dup ACK 3037#2] 65122  >  443 [ACK] Seq=1293 Ack=5899 Win=65792 Len=0 SLE=8690 SRE=11463;;;;;;;;;;;;;;;
3045;299.668.710;192.168.43.47;172.67.38.97;TCP;66;[TCP Dup ACK 3037#3] 65122  >  443 [ACK] Seq=1293 Ack=5899 Win=65792 Len=0 SLE=7290 SRE=11463;;;;;;;;;;;;;;;
3046;299.668.817;192.168.43.47;172.67.38.97;TCP;74;[TCP Dup ACK 3037#4] 65122  >  443 [ACK] Seq=1293 Ack=5899 Win=65792 Len=0 SLE=12863 SRE=14245 SLE=7290 SRE=11463;;;;;;;;;;;;;;;
3047;299.668.938;192.168.43.47;172.67.38.97;TCP;74;[TCP Dup ACK 3037#5] 65122  >  443 [ACK] Seq=1293 Ack=5899 Win=65792 Len=0 SLE=12863 SRE=15645 SLE=7290 SRE=11463;;;;;;;;;;;;;;;
3048;299.669.300;172.67.38.97;192.168.43.47;TLSv1.3;1445;[TCP Fast Retransmission] , Application Data;;;;;;;;;;;;;;;
3049;299.669.300;172.67.38.97;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65122 [ACK] Seq=11463 Ack=1293 Win=68608 Len=1400;;;;;;;;;;;;;;;
3050;299.669.300;172.67.38.97;192.168.43.47;TLSv1.3;890;Application Data;;;;;;;;;;;;;;;
3051;299.669.300;172.67.38.97;192.168.43.47;TLSv1.3;85;Application Data;;;;;;;;;;;;;;;
3052;299.669.469;192.168.43.47;172.67.38.97;TCP;66;65122  >  443 [ACK] Seq=1293 Ack=11463 Win=65792 Len=0 SLE=12863 SRE=15645;;;;;;;;;;;;;;;
3053;299.669.604;192.168.43.47;172.67.38.97;TCP;54;65122  >  443 [ACK] Seq=1293 Ack=15645 Win=65792 Len=0;;;;;;;;;;;;;;;
3054;299.669.720;192.168.43.47;172.67.38.97;TCP;54;65122  >  443 [ACK] Seq=1293 Ack=16512 Win=64768 Len=0;;;;;;;;;;;;;;;
3055;299.697.290;192.168.43.47;74.125.24.94;TLSv1.3;93;Application Data;;;;;;;;;;;;;;;
3056;299.757.172;74.125.24.94;192.168.43.47;TCP;54;443  >  49917 [ACK] Seq=36792 Ack=1282 Win=67840 Len=0;;;;;;;;;;;;;;;
3057;299.778.073;23.111.9.35;192.168.43.47;TCP;66;443  >  65129 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;;;;;;;;;;;;;
3058;299.778.298;192.168.43.47;23.111.9.35;TCP;54;65129  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0;;;;;;;;;;;;;;;
3059;299.782.171;192.168.43.47;23.111.9.35;TLSv1.2;571;Client Hello;;;;;;;;;;;;;;;
3061;299.991.695;23.111.9.35;192.168.43.47;TCP;54;443  >  65129 [ACK] Seq=1 Ack=518 Win=30720 Len=0;;;;;;;;;;;;;;;
3062;299.992.539;23.111.9.35;192.168.43.47;TLSv1.2;1454;Server Hello;;;;;;;;;;;;;;;
3063;299.992.539;23.111.9.35;192.168.43.47;TCP;1454;443  >  65129 [ACK] Seq=1401 Ack=518 Win=30720 Len=1400 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
3064;299.992.539;23.111.9.35;192.168.43.47;TLSv1.2;531;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
3065;299.992.539;23.111.9.35;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65129 [ACK] Seq=2801 Ack=518 Win=30720 Len=1400;;;;;;;;;;;;;;;
3066;299.992.693;192.168.43.47;23.111.9.35;TCP;66;65129  >  443 [ACK] Seq=518 Ack=2801 Win=65792 Len=0 SLE=4201 SRE=4678;;;;;;;;;;;;;;;
3067;299.992.890;192.168.43.47;23.111.9.35;TCP;54;65129  >  443 [ACK] Seq=518 Ack=4678 Win=65792 Len=0;;;;;;;;;;;;;;;
3068;300.037.959;192.168.43.47;74.125.68.102;TCP;55;[TCP Keep-Alive] 49908  >  443 [ACK] Seq=5989 Ack=13521 Win=65024 Len=1;;;;;;;;;;;;;;;
3069;300.045.651;192.168.43.47;23.111.9.35;TLSv1.2;180;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
3070;300.050.444;192.168.43.47;23.111.9.35;TLSv1.2;153;Application Data;;;;;;;;;;;;;;;
3071;300.051.601;192.168.43.47;23.111.9.35;TLSv1.2;410;Application Data;;;;;;;;;;;;;;;
3072;300.107.861;74.125.68.102;192.168.43.47;TCP;66;[TCP Keep-Alive ACK] 443  >  49908 [ACK] Seq=13521 Ack=5990 Win=79616 Len=0 SLE=5989 SRE=5990;;;;;;;;;;;;;;;
3073;300.247.234;23.111.9.35;192.168.43.47;TCP;54;443  >  65129 [ACK] Seq=4678 Ack=1099 Win=31744 Len=0;;;;;;;;;;;;;;;
3074;300.247.798;23.111.9.35;192.168.43.47;TLSv1.2;453;[TCP Previous segment not captured] , Application Data;;;;;;;;;;;;;;;
3075;300.247.798;23.111.9.35;192.168.43.47;TLSv1.2;1454;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
3076;300.247.798;23.111.9.35;192.168.43.47;TLSv1.2;1454;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
3077;300.247.935;192.168.43.47;23.111.9.35;TCP;66;[TCP Dup ACK 3067#1] 65129  >  443 [ACK] Seq=1099 Ack=4678 Win=65792 Len=0 SLE=4936 SRE=5335;;;;;;;;;;;;;;;
3078;300.248.143;192.168.43.47;23.111.9.35;TCP;74;[TCP Dup ACK 3067#2] 65129  >  443 [ACK] Seq=1099 Ack=4678 Win=65792 Len=0 SLE=8135 SRE=9535 SLE=4936 SRE=5335;;;;;;;;;;;;;;;
3079;300.248.240;192.168.43.47;23.111.9.35;TCP;82;[TCP Dup ACK 3067#3] 65129  >  443 [ACK] Seq=1099 Ack=4678 Win=65792 Len=0 SLE=12335 SRE=13735 SLE=8135 SRE=9535 SLE=4936 SRE=5335;;;;;;;;;;;;;;;
3080;300.248.500;23.111.9.35;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65129 [ACK] Seq=6735 Ack=1099 Win=31744 Len=1400;;;;;;;;;;;;;;;
3081;300.248.500;23.111.9.35;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65129 [ACK] Seq=10935 Ack=1099 Win=31744 Len=1400;;;;;;;;;;;;;;;
3082;300.248.584;192.168.43.47;23.111.9.35;TCP;82;[TCP Dup ACK 3067#4] 65129  >  443 [ACK] Seq=1099 Ack=4678 Win=65792 Len=0 SLE=6735 SRE=9535 SLE=12335 SRE=13735 SLE=4936 SRE=5335;;;;;;;;;;;;;;;
3083;300.248.682;192.168.43.47;23.111.9.35;TCP;82;[TCP Dup ACK 3067#5] 65129  >  443 [ACK] Seq=1099 Ack=4678 Win=65792 Len=0 SLE=10935 SRE=13735 SLE=6735 SRE=9535 SLE=4936 SRE=5335;;;;;;;;;;;;;;;
3084;300.248.898;23.111.9.35;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65129 [ACK] Seq=9535 Ack=1099 Win=31744 Len=1400;;;;;;;;;;;;;;;
3085;300.248.898;23.111.9.35;192.168.43.47;TLSv1.2;312;[TCP Fast Retransmission] , New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
3086;300.248.967;192.168.43.47;23.111.9.35;TCP;74;[TCP Dup ACK 3067#6] 65129  >  443 [ACK] Seq=1099 Ack=4678 Win=65792 Len=0 SLE=6735 SRE=13735 SLE=4936 SRE=5335;;;;;;;;;;;;;;;
3087;300.249.099;192.168.43.47;23.111.9.35;TCP;66;65129  >  443 [ACK] Seq=1099 Ack=5335 Win=65024 Len=0 SLE=6735 SRE=13735;;;;;;;;;;;;;;;
3088;300.249.451;23.111.9.35;192.168.43.47;TLSv1.2;1454;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
3089;300.249.520;192.168.43.47;23.111.9.35;TCP;74;[TCP Dup ACK 3087#1] 65129  >  443 [ACK] Seq=1099 Ack=5335 Win=65024 Len=0 SLE=15135 SRE=16535 SLE=6735 SRE=13735;;;;;;;;;;;;;;;
3090;300.249.708;23.111.9.35;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65129 [ACK] Seq=5335 Ack=1099 Win=31744 Len=1400;;;;;;;;;;;;;;;
3091;300.249.793;192.168.43.47;23.111.9.35;TCP;66;65129  >  443 [ACK] Seq=1099 Ack=13735 Win=65792 Len=0 SLE=15135 SRE=16535;;;;;;;;;;;;;;;
3092;300.250.995;23.111.9.35;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65129 [ACK] Seq=13735 Ack=1099 Win=31744 Len=1400;;;;;;;;;;;;;;;
3093;300.251.171;192.168.43.47;23.111.9.35;TCP;54;65129  >  443 [ACK] Seq=1099 Ack=16535 Win=65792 Len=0;;;;;;;;;;;;;;;
3094;300.253.043;192.168.43.47;23.111.9.35;TLSv1.2;92;Application Data;;;;;;;;;;;;;;;
3095;300.438.935;23.111.9.35;192.168.43.47;TLSv1.2;1454;Ignored Unknown Record;;;;;;;;;;;;;;;
3096;300.439.128;192.168.43.47;23.111.9.35;TCP;54;65129  >  443 [ACK] Seq=1137 Ack=17935 Win=65792 Len=0;;;;;;;;;;;;;;;
3097;300.439.458;23.111.9.35;192.168.43.47;TCP;312;[TCP Out-Of-Order] 443  >  65129 [PSH, ACK] Seq=4678 Ack=1099 Win=31744 Len=258;;;;;;;;;;;;;;;
3098;300.439.517;192.168.43.47;23.111.9.35;TCP;66;[TCP Dup ACK 3096#1] 65129  >  443 [ACK] Seq=1137 Ack=17935 Win=65792 Len=0 SLE=4678 SRE=4936;;;;;;;;;;;;;;;
3099;300.439.706;23.111.9.35;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65129 [ACK] Seq=5335 Ack=1099 Win=31744 Len=1400;;;;;;;;;;;;;;;
3100;300.439.766;192.168.43.47;23.111.9.35;TCP;66;[TCP Dup ACK 3096#2] 65129  >  443 [ACK] Seq=1137 Ack=17935 Win=65792 Len=0 SLE=5335 SRE=6735;;;;;;;;;;;;;;;
3101;300.440.088;23.111.9.35;192.168.43.47;TLSv1.2;1454;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
3102;300.440.153;192.168.43.47;23.111.9.35;TCP;66;[TCP Dup ACK 3096#3] 65129  >  443 [ACK] Seq=1137 Ack=17935 Win=65792 Len=0 SLE=19335 SRE=20735;;;;;;;;;;;;;;;
3103;300.441.528;23.111.9.35;192.168.43.47;TLSv1.2;1454;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
3104;300.441.528;23.111.9.35;192.168.43.47;TLSv1.2;1454;Ignored Unknown Record;;;;;;;;;;;;;;;
3105;300.441.528;23.111.9.35;192.168.43.47;TLSv1.2;1454;[TCP Fast Retransmission] , Ignored Unknown Record;;;;;;;;;;;;;;;
3106;300.441.687;192.168.43.47;23.111.9.35;TCP;74;[TCP Dup ACK 3096#4] 65129  >  443 [ACK] Seq=1137 Ack=17935 Win=65792 Len=0 SLE=22135 SRE=24935 SLE=19335 SRE=20735;;;;;;;;;;;;;;;
3107;300.441.912;192.168.43.47;23.111.9.35;TCP;66;65129  >  443 [ACK] Seq=1137 Ack=20735 Win=65792 Len=0 SLE=22135 SRE=24935;;;;;;;;;;;;;;;
3108;300.443.206;23.111.9.35;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65129 [ACK] Seq=20735 Ack=1099 Win=31744 Len=1400;;;;;;;;;;;;;;;
3109;300.443.355;192.168.43.47;23.111.9.35;TCP;54;65129  >  443 [ACK] Seq=1137 Ack=24935 Win=65792 Len=0;;;;;;;;;;;;;;;
3110;300.443.731;23.111.9.35;192.168.43.47;TLSv1.2;1454;Ignored Unknown Record;;;;;;;;;;;;;;;
3111;300.443.812;192.168.43.47;23.111.9.35;TCP;54;65129  >  443 [ACK] Seq=1137 Ack=26335 Win=65792 Len=0;;;;;;;;;;;;;;;
3112;300.481.514;23.111.9.35;192.168.43.47;TCP;54;443  >  65129 [ACK] Seq=26335 Ack=1137 Win=31744 Len=0;;;;;;;;;;;;;;;
3114;300.621.981;192.168.43.47;74.125.68.139;TCP;66;65132  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;
3115;300.640.262;23.111.9.35;192.168.43.47;TLSv1.2;1454;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
3116;300.640.416;192.168.43.47;23.111.9.35;TCP;66;[TCP Dup ACK 3111#1] 65129  >  443 [ACK] Seq=1137 Ack=26335 Win=65792 Len=0 SLE=30535 SRE=31935;;;;;;;;;;;;;;;
3117;300.641.152;23.111.9.35;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65129 [ACK] Seq=29135 Ack=1137 Win=31744 Len=1400;;;;;;;;;;;;;;;
3118;300.641.152;23.111.9.35;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65129 [ACK] Seq=26335 Ack=1137 Win=31744 Len=1400;;;;;;;;;;;;;;;
3119;300.641.152;23.111.9.35;192.168.43.47;TLSv1.2;1454;[TCP Previous segment not captured] , Ignored Unknown Record;;;;;;;;;;;;;;;
3120;300.641.152;23.111.9.35;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65129 [ACK] Seq=33335 Ack=1137 Win=31744 Len=1400;;;;;;;;;;;;;;;
3121;300.641.336;192.168.43.47;23.111.9.35;TCP;66;[TCP Dup ACK 3111#2] 65129  >  443 [ACK] Seq=1137 Ack=26335 Win=65792 Len=0 SLE=29135 SRE=31935;;;;;;;;;;;;;;;
3122;300.641.529;192.168.43.47;23.111.9.35;TCP;66;65129  >  443 [ACK] Seq=1137 Ack=27735 Win=65792 Len=0 SLE=29135 SRE=31935;;;;;;;;;;;;;;;
3123;300.641.622;192.168.43.47;23.111.9.35;TCP;74;[TCP Dup ACK 3122#1] 65129  >  443 [ACK] Seq=1137 Ack=27735 Win=65792 Len=0 SLE=36135 SRE=37535 SLE=29135 SRE=31935;;;;;;;;;;;;;;;
3124;300.641.709;192.168.43.47;23.111.9.35;TCP;82;[TCP Dup ACK 3122#2] 65129  >  443 [ACK] Seq=1137 Ack=27735 Win=65792 Len=0 SLE=33335 SRE=34735 SLE=36135 SRE=37535 SLE=29135 SRE=31935;;;;;;;;;;;;;;;
3125;300.644.876;23.111.9.35;192.168.43.47;TLSv1.2;1454;Ignored Unknown Record;;;;;;;;;;;;;;;
3126;300.645.067;192.168.43.47;23.111.9.35;TCP;82;[TCP Dup ACK 3122#3] 65129  >  443 [ACK] Seq=1137 Ack=27735 Win=65792 Len=0 SLE=36135 SRE=38935 SLE=33335 SRE=34735 SLE=29135 SRE=31935;;;;;;;;;;;;;;;
3127;300.647.277;23.111.9.35;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65129 [ACK] Seq=31935 Ack=1137 Win=31744 Len=1400;;;;;;;;;;;;;;;
3128;300.647.277;23.111.9.35;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  65129 [ACK] Seq=34735 Ack=1137 Win=31744 Len=1400;;;;;;;;;;;;;;;
